Date,Time,Location,Operator,Flight #,Route,Registration,cn / ln,Aboard Total,Aboard Passengers,Aboard Crew,Fatalities Total,Fatalities Passengers,Fatalities Crew,Ground,Summary,Url,Latitude,Longitude
"January 05, 2000",,"Abuja, Nigeria",Skypower Express Airways,,Lagos - Abuja,5N-AXL,110-455,16,13.0,3.0,1,1.0,0.0,1.0,During a visual approach the aircraft stalled and pancaked 400 ft. short of the runway.,https://www.planecrashinfo.com/2000/2000-1.htm,9.0643305,7.4892974
"January 10, 2000",17:54,"Niederhasli, Switzerland",Crossair,498,Zürich - Dresden,HB-AKK,213,10,7.0,3.0,10,7.0,3.0,0.0,"The aircraft crashed shortly after taking off, 8 km from the airport in light rain. After departing, the captain turned the aircraft to the right instead of to the left. The first officer advised the captain he should be turning left and ATC also asked about the direction taken. ATC then cleared the aircraft for a right turn. Soon after, the pitch decreased rapidly accompanied by a marked speed increase and plane entered a high speed, high-rate, spiral descent and crashed into an open field. The flight crew reacted inappropriately to the change in departure clearance SID ZUE 1Y by ATC. The first officer made an entry in the FMS, without being instructed to do so by the commander, which related to the change to the SID ZUE 1 standard instrument departure. In doing so, he omitted to select a turn direction. The captain dispensed with use of the autopilot under instrument flight conditions and during the work-intensive climb phase of the flight. The captain took the aircraft into a spiral dive to the right because, with a probability bordering on certainty, he had lost spatial orientation. The first officer took only inadequate measures to prevent or recover from the spiral dive. The commander was not systematically acquainted by Crossair with the specific features of western systems and cockpit procedures. Specifically both pilots  had trained in the Soviet Union, where the attitude indicator works differently. Theirs show an icon of the airplane changing position in front of a fixed horizon, mimicking what an observer outside the plane would see if there was daylight; but western type indicators show a fixed airplane icon and an artificial horizon changing position, mimicking what the pilot would see.  Consequently the diagonal line on the display is angled the same way for a right turn on one type as for a left turn on the other type.",https://www.planecrashinfo.com/2000/2000-2.htm,47.4812949,8.4858049
"January 13, 2000",12:38,"Off Marsa el-Brega, Libya",Avisto,,Tripoli IAP - Marsa el-Brega,HB-AAM,SH-3763,41,38.0,3.0,22,21.0,1.0,0.0,"The aircraft was on a flight from Tripoli to Marsa el-Brega Libya ferrying oil workers. As the twin engine plane approached Marsa El-Brega, the crew experienced a double engine failure and ditched into the sea. Failure of the crew to use the anti-icing system which led to the ingestion of melting ice into both engines causing failure of both engines.",https://www.planecrashinfo.com/2000/2000-3.htm,30.407313,19.578771
"January 15, 2000",13:10,"San Jose, Costa Rica",TACA,,San Jose - Tortuguero,YS-09-C,861620,20,17.0,3.0,5,4.0,1.0,0.0,The aircraft was not able to maintain altitude after taking off and crashed into a house. The aircraft was overloaded. Lack of safety instruction to passengers. Flaps not properly selected. Took off without clearance.,https://www.planecrashinfo.com/2000/2000-4.htm,9.9325427,-84.0795782
"January 30, 2000",21:08,"Off Abidjan, Ivory Coast",Kenya Airways,431,Abidjan - Lagos,5Y-BEN,426,179,169.0,10.0,169,159.0,10.0,0.0,"The aircraft crashed into the Atlantic Ocean three minutes after taking off from Felix Houphouet-Boigny Airport.  A few seconds after lifting off the ground the stall warning sounded and continued for about 20 seconds until it was manually turned off by the crew. Three seconds later the plane impacted the water. The pilot's response to an alarm that inaccurately indicated the plane had stalled. The pilot failed to complete established procedure for such an emergency. Takeoff conditions also contributed to the accident, which occurred at night, hampering the crew's ability to judge the plane's distance from the sea.",https://www.planecrashinfo.com/2000/2000-5.htm,5.320357,-4.016107
"January 31, 2000",16:21,"Off Point Mugu, California",Alaska Airlines,261,Puerto Vallarta - San Francisco,N963AS,53077/1995,88,83.0,5.0,88,83.0,5.0,0.0,"The aircraft crashed into the Pacific Ocean south of Point Mugu in 650 ft. feet of water while en route from Puerto Vallarta to San Francisco. Radio transmissions from the plane indicated the pilots were struggling with a jammed stabilizer for the last 11 minutes of the flight before nose-diving into the sea. While preparing to make an emergency landing at Los Angeles International Airport control was lost and the MD-83 was seen in a nose-down attitude, spinning and tumbling in a continuous roll, inverted, before it impacted the sea.  Loss of airplane pitch control resulting from in-flight failure of the horizontal stabilizer trim system jackscrew assembly's acme nut thread. The component failed because of excessive wear resulting from Alaska Airlines' insufficient lubrication of the jackscrew assembly. Contributing to the accident were Alaska Airlines' extended lubrication interval and the Federal Aviation Administration's approval of that extension, which increased the likelihood that a missed or inadequate lubrication would result in excessive wear of the acme nut threads and Alaska Airlines' extended end play check interval and the FAA's approval of that extension, which allowed the excessive wear of the acme nut threads to progress to failure without the opportunity for detection. Also contributing to the accident was the absence on the McDonnell Douglas MD-80 of a fail-safe mechanism to prevent the catastrophic effects of total acme nut thread loss. Cynthia Oti, radio financial talk show host, Dean Forshee, guitarist, Jean Gandesberry, columnist, Tom Stockley, columnist were among those killed.",https://www.planecrashinfo.com/2000/2000-6.htm,34.0854138,-119.060992
"February 02, 2000",,"Tehran, Iran",Military - Islamic Republic of Iran Air Force,,Training,,,8,,,8,,,0.0,Crashed on take off.,https://www.planecrashinfo.com/2000/2000-7.htm,35.6892523,51.3896004
"February 16, 2000",19:50,"Sacramento, California",Emery Worldwide,17,"Sacramento, CA - Dayton, OH",N8079U,45947/341,3,0.0,3.0,3,0.0,3.0,0.0,The cargo plane lost altitude after taking off and crashed into a auto salvage yard and burned. A loss of pitch control resulting from the disconnection of the right elevator control tab. The disconnection was caused by the failure to properly secure and inspect the attachment bolt.,https://www.planecrashinfo.com/2000/2000-8.htm,38.5810606,-121.493895
"March 05, 2000",18:11,"Burbank, Calilfornia",Southwest Airlines,1455,Las Vegas - Burbank,N668SW,23060/1069,142,137.0,5.0,0,0.0,0.0,0.0,"While attempting to land at Burbank Airport, the plane overran the runway, collided with a metal blast fence and an airport perimeter wall and came to rest on a city street near a gas station. The plane touched down at 182 knots, 2,150 feet past the runway threshold, too fast and too far down the runway for the plane to stop in time.  In the accident sequence,  the nose gear collapsed, the forward service door (1R) escape slide inflated inside the airplane and  the forward dual flight attendant jumpseat, which was occupied by two flight attendants, partially collapsed. Two passengers sustained serious injuries and 41 passengers and the captain sustained minor injuries. The flightcrew's excessive airspeed and flight path angle during the approach and landing and its failure to abort the approach when stabilized approach criteria were not met. Contributing to the accident was the controller's positioning of the airplane in such a manner as to leave no safe options for the flightcrew other than a go-around maneuver.",https://www.planecrashinfo.com/2000/2000-9.htm,34.1812089,-118.307201
"March 09, 2000",08:40,"Moscow, Russia",Vologodskiye Airlines,,Moscow - Kiev,RA-88170,9620847,9,4.0,5.0,9,4.0,5.0,0.0,"The aircraft climbed to an altitude of about 100 ft., stalled, lost control and crashed. Ice build up on the wings. Flaps incorrectly set.",https://www.planecrashinfo.com/2000/2000-10.htm,55.625578,37.6063916
"March 17, 2000",09:30,"Near Kuna Yala, Panama",Aeroperlas,,Panama City - Puerto Obaldia,HP-1267APP,624,10,8.0,2.0,10,8.0,2.0,0.0,"Crashed into a jungle mountainside 15 miles short of its destination while en route. The wreckage was found at the 2,500 ft. level of a 2,790 ft. mountain.  Weather was poor at the time.",https://www.planecrashinfo.com/2000/2000-11.htm,9.4708308,-78.9600918
